Number Of Particles,Best Value
16,19.9117
16,19.8878
16,19.8968
16,19.8698
16,19.8414
16,19.8827
16,20.135
16,19.9506
16,19.8888
16,19.8316
16,19.9786
16,19.9162
16,19.917
16,19.4619
16,19.8909
16,19.9484
16,19.8624
16,19.9112
16,19.9136
16,19.8799
#Global
16,20.0936
16,20.1003
16,20.0618
16,20.0854
16,20.111
16,20.0956
16,20.0137
16,20.1006
16,20.0997
16,20.1135
16,19.8852
16,19.9694
16,19.9754
16,20.0615
16,20.1312
16,20.0866
16,20.2772
16,20.1292
16,19.9728
16,20.0032
#Ring
16,20.0526
16,19.7673
16,19.7455
16,19.8677
16,19.9299
16,20
16,20.042
16,19.9843
16,20.1724
16,19.8874
16,19.8336
16,19.7324
16,20.1965
16,19.8844
16,19.735
16,20.0634
16,19.8532
16,20.1421
16,20.2412
16,19.9837
#VonNeumann
16,20.5039
16,20.8124
16,12.2051
16,20.5265
16,0.0252474
16,20.9466
16,20.683
16,20.5382
16,20.9
16,2.53178
16,17.0788
16,20.5058
16,1.87999
16,20.8181
16,1.2191
16,20.9341
16,20.3884
16,20.5953
16,20.7846
16,1.69285
#Random
