Number Of Particles,Best Value
30,138.299
30,70.6419
30,71.6369
30,86.5612
30,63.6772
30,55.7176
30,58.7024
30,74.6217
30,109.446
30,103.475
30,113.425
30,190.036
30,109.445
30,103.475
30,87.556
30,87.5561
30,95.5157
30,123.374
30,83.5763
30,75.6166
#Global
30,142.698
30,119.285
30,127.995
30,133.189
30,131.076
30,122.407
30,119.648
30,159.948
30,97.0964
30,115.013
30,102.257
30,121.452
30,133.499
30,135.388
30,112.268
30,155.199
30,101.029
30,131.304
30,83.0778
30,89.4328
#Ring
30,95.5587
30,102.481
30,98.5006
30,92.531
30,85.5666
30,79.6482
30,84.4884
30,49.7487
30,112.472
30,56.7126
30,38.8047
30,119.396
30,87.5587
30,69.2767
30,103.476
30,74.6105
30,122.387
30,112.608
30,67.6608
30,144.281
#VonNeumann
30,70.9425
30,144.435
30,142.286
30,88.1809
30,176.257
30,128.786
30,69.248
30,78.7636
30,155.586
30,156.376
30,68.1279
30,48.4786
30,71.3239
30,38.9126
30,58.331
30,148.055
30,145.695
30,90.4021
30,36.4225
30,147.832
#Random
