Number Of Particles,Best Value
30,133.152
30,18.0628
30,0.992036
30,248.219
30,73.5164
30,89.7365
30,286.258
30,68.8271
30,1.76838
30,83.8993
30,42.1158
30,24.6111
30,231.605
30,73.516
30,80.4276
30,194.153
30,81.6218
30,20.4648
30,70.9158
30,534.291
#Global
30,141.461
30,193.28
30,36.3136
30,130.208
30,116.649
30,206.138
30,249.095
30,108.749
30,145.353
30,15.1219
30,175.689
30,132.905
30,267.487
30,175.416
30,174.695
30,64.7091
30,107.978
30,136.025
30,124.673
30,311.992
#Ring
30,79.0007
30,262.244
30,517.511
30,80.3534
30,614.304
30,121.105
30,41.7137
30,188.636
30,107.765
30,176.855
30,182.251
30,318.105
30,123.428
30,1067.26
30,85.293
30,380.392
30,90.4745
30,152.017
30,120.957
30,75.1545
#VonNeumann
30,103.417
30,27.8653
30,397.135
30,97.9198
30,102.824
30,86.5439
30,167.788
30,43.0038
30,40.3305
30,80.2741
30,180.164
30,373.899
30,1288.09
30,74.8467
30,98.8222
30,85.1889
30,82.9151
30,165.036
30,602.179
30,170.337
#Random
