Number Of Particles,Best Value
#Global
16,19.894
16,19.9231
16,19.968
16,19.9482
16,19.9161
16,19.8816
16,19.9147
16,19.8681
16,19.7759
16,19.9222
16,19.9503
16,19.9224
16,19.9149
16,19.8564
16,19.7875
16,19.8337
16,19.8965
16,19.9229
16,19.8804
16,19.9239
30,19.893
30,19.8961
30,19.7281
30,19.7851
30,19.8382
30,19.9215
30,19.8944
30,19.8579
30,19.8215
30,19.8597
30,19.8836
30,19.8835
30,19.8628
30,19.9629
30,19.8921
30,19.7946
30,19.8992
30,19.8218
30,19.8141
30,19.8367
49,19.7439
49,19.7727
49,19.2153
49,19.8557
49,19.7588
49,19.8702
49,19.7111
49,19.7819
49,19.8481
49,19.8149
49,19.8122
49,19.8615
49,19.7712
49,19.9164
49,19.8762
49,19.7857
49,19.809
49,19.405
49,19.9206
49,19.7988
#Ring
16,19.9826
16,20.0482
16,20.1732
16,19.8818
16,20.0026
16,19.9886
16,20.0865
16,20.0221
16,19.9136
16,20.164
16,20.1561
16,20.387
16,20.202
16,20.2209
16,19.9807
16,20.1989
16,19.9625
16,20.1429
16,20.0338
16,19.876
30,20.1792
30,19.8758
30,19.9954
30,19.8335
30,20.0667
30,20.2005
30,20.1579
30,20.0078
30,19.9932
30,19.9336
30,20.1686
30,19.956
30,19.9343
30,20.0222
30,19.9446
30,19.9785
30,19.8227
30,19.9996
30,19.9974
30,20.0116
49,20.093
49,20.1239
49,19.9254
49,20.1531
49,19.982
49,20.0968
49,20.0455
49,19.9622
49,20.0419
49,19.9448
49,20.0781
49,20.0086
49,20.1038
49,19.9626
49,19.956
49,19.8824
49,20.0718
49,19.9987
49,20.013
49,19.8468
#VonNeumann
16,20.4606
16,19.8875
16,19.8379
16,19.873
16,19.9776
16,19.7726
16,19.8463
16,20.0038
16,20.1775
16,19.8681
16,19.834
16,20.1353
16,20.0142
16,19.7705
16,19.9378
16,19.9982
16,19.8915
16,20.1407
16,19.9655
16,19.9348
30,19.7582
30,19.9298
30,19.9384
30,19.8495
30,19.9056
30,20.0064
30,19.6179
30,19.7877
30,19.8976
30,19.979
30,19.8514
30,20.0147
30,19.9533
30,19.8576
30,19.8885
30,19.8731
30,19.8047
30,20.143
30,19.8277
30,19.8854
49,19.9036
49,19.8439
49,19.8798
49,19.7711
49,19.8937
49,19.7777
49,19.9186
49,19.8643
49,19.8584
49,19.868
49,19.6574
49,20.078
49,19.782
49,19.8232
49,19.9095
49,19.9836
49,19.8773
49,19.9156
49,19.9325
49,19.7987
#Random
16,20.9564
16,20.8763
16,2.98545
16,20.88
16,20.728
16,5.57346
16,1.52074
16,20.6553
16,20.6474
16,20.8901
16,20.8176
16,20.8156
16,2.15893
16,20.5823
16,0.284731
16,1.34074
16,20.8671
16,20.8317
16,20.9132
16,1.83582
30,20.8051
30,19.9524
30,0.215638
30,2.75996
30,3.83227
30,20.5944
30,3.72539
30,3.76955
30,15.7034
30,0.0187344
30,0.00585169
30,1.31369
30,0.00936612
30,9.81707
30,20.5663
30,20.6332
30,0.00774082
30,20.7658
30,0.359131
30,20.7389
49,0.0240786
49,0.0135984
49,20.5098
49,0.116516
49,20.5481
49,3.98259
49,0.118607
49,0.501393
49,20.4586
49,20.5646
49,20.609
49,0.910271
49,20.4733
49,0.0542179
49,19.8913
49,1.39957
49,2.53084
49,0.0570862
49,0.149963
49,0.0373883
