Number Of Particles,Best Value
16,19.9088
16,19.8061
16,19.8625
16,19.8889
16,19.8774
16,19.6588
16,19.9248
16,19.8495
16,19.7135
16,19.8398
16,19.8551
16,19.8927
16,19.8824
16,19.8847
16,19.787
16,19.785
16,19.9224
16,19.9011
16,19.8439
16,19.8861
#16
30,19.8822
30,19.9303
30,19.7758
30,19.9074
30,19.853
30,19.9225
30,19.8828
30,20.0358
30,19.8486
30,19.8601
30,19.74
30,19.7846
30,19.841
30,19.9399
30,19.783
30,19.8696
30,19.8515
30,19.7864
30,19.8136
30,19.9019
#30
49,19.9022
49,19.7989
49,19.8069
49,19.8297
49,19.86
49,19.8291
49,19.7673
49,19.9084
49,19.8788
49,19.822
49,19.8187
49,19.9231
49,19.8873
49,19.8578
49,19.8741
49,19.8256
49,19.7631
49,19.8333
49,19.8896
49,19.7487
#49
