Number Of Particles,Best Value
16,120.389
16,81.5868
16,131.334
16,106.46
16,128.349
16,86.5612
16,160.188
16,199.986
16,86.5612
16,82.5816
16,115.415
16,183.071
16,122.379
16,101.513
16,123.374
16,82.5814
16,115.415
16,56.7126
16,184.065
16,103.475
#16
30,82.5814
30,64.6722
30,117.405
30,66.6621
30,98.5005
30,83.5762
30,80.5915
30,137.304
30,92.5308
30,77.6066
30,150.238
30,79.5965
30,88.5511
30,98.5006
30,99.4955
30,87.5559
30,101.485
30,62.6822
30,85.566
30,63.6772
#30
49,70.642
49,71.6369
49,52.7327
49,70.642
49,95.5157
49,94.5208
49,80.5915
49,49.7479
49,47.758
49,98.5006
49,52.7327
49,40.7933
49,81.5864
49,42.7831
49,59.6974
49,54.7227
49,74.6217
49,79.5964
49,83.5763
49,104.47
#49
