Number Of Particles,Best Value
16,202.601
16,160.964
16,104.267
16,70.2166
16,137.984
16,30.7092
16,70.4453
16,124.002
16,411.256
16,407.885
16,82.4852
16,646.787
16,2466.11
16,258.625
16,98.004
16,169.286
16,74.4722
16,559.286
16,103.902
16,100.017
#16
30,77.4815
30,246.742
30,250.359
30,82.0209
30,78.9621
30,4.58844
30,122.998
30,85.7415
30,74.6514
30,94.0829
30,73.7369
30,128.421
30,518.488
30,236.072
30,478.291
30,216.532
30,75.659
30,92.7924
30,247.804
30,256.063
#30
49,81.9701
49,7.92011
49,1511.52
49,98.6732
49,317.968
49,25.9149
49,31.076
49,81.5851
49,133.673
49,29.4008
49,168.3
49,127.647
49,203.093
49,75.6834
49,1019.4
49,1001.12
49,46.7523
49,99.4365
49,241.064
49,80.7611
#49
