Number Of Particles,Best Value
16,18.2098
16,20.7046
16,20.8905
16,20.8436
16,0.74135
16,20.6368
16,20.8098
16,20.9166
16,6.504
16,20.8311
16,20.4461
16,20.7862
16,0.020106
16,20.7911
16,20.8175
16,20.7966
16,19.536
16,0.233132
16,20.8205
16,20.5979
#16
30,0.0874087
30,10.9456
30,20.6357
30,2.96745
30,20.633
30,6.3655
30,5.93103
30,0.206958
30,0.141928
30,18.3076
30,4.03212
30,20.7351
30,20.6296
30,0.0106611
30,0.00550992
30,0.0524575
30,4.2646
30,20.9513
30,20.3571
30,0.404823
#30
49,0.614473
49,0.0219742
49,0.0254522
49,20.6642
49,0.0318618
49,20.5824
49,0.00960329
49,0.508033
49,1.25845
49,0.307293
49,0.0115709
49,0.966111
49,0.0917995
49,1.41903
49,2.13209
49,0.0923306
49,0.104535
49,0.011127
49,0.192889
49,20.6254
#49
