Number Of Particles,Best Value
16,89.6033
16,64.8052
16,114.458
16,165.125
16,136.491
16,109.548
16,97.9221
16,183.32
16,95.5557
16,69.6841
16,84.3811
16,93.1576
16,83.0051
16,76.8405
16,125.908
16,109.277
16,92.9712
16,75.6182
16,56.0818
16,66.0284
#16
30,215.445
30,60.9839
30,119.22
30,114.03
30,133.412
30,43.7401
30,50.6116
30,58.6877
30,160.898
30,51.7103
30,92.0251
30,70.0773
30,59.8763
30,53.4697
30,63.2207
30,96.1765
30,38.078
30,62.7472
30,162.776
30,94.3881
#30
49,160.005
49,147.706
49,37.2899
49,117.061
49,161.563
49,114.43
49,163.66
49,98.3949
49,160.682
49,77.0483
49,163.771
49,170.292
49,77.8852
49,141.725
49,97.0866
49,43.6173
49,190.773
49,114.217
49,148.217
49,125.561
#49
