Number Of Particles,Best Value
16,213.53
16,455.293
16,77.0061
16,1172.01
16,41.3517
16,63.7852
16,192.554
16,289.043
16,2083.53
16,118.702
16,218.804
16,180.651
16,477.042
16,75.6201
16,425.469
16,21689.8
16,291.996
16,1108.87
16,447.153
16,157.277
#16
30,92.172
30,82.9626
30,318.812
30,206.494
30,28.1225
30,478.67
30,4305.03
30,51.6454
30,307.183
30,203.853
30,345.781
30,1152.54
30,1241.18
30,27.2407
30,1295.57
30,159.406
30,246.216
30,80.6496
30,127.979
30,113.293
#30
49,72.966
49,80.6856
49,194.349
49,335.585
49,214.185
49,899.558
49,53.1416
49,86.241
49,158.347
49,101.953
49,702.467
49,75.0244
49,106.01
49,107.711
49,83.2869
49,194.914
49,27.9177
49,34.2664
49,89.0777
49,112.475
#49
