Number Of Particles,Best Value
#Global
16,139.294
16,87.556
16,163.172
16,104.47
16,160.188
16,104.47
16,75.6167
16,109.445
16,172.127
16,144.268
16,139.294
16,115.415
16,148.248
16,135.314
16,119.395
16,112.43
16,125.364
16,153.223
16,126.359
16,79.5965
30,91.5359
30,78.6016
30,65.6671
30,99.4956
30,124.369
30,97.5056
30,139.294
30,125.364
30,103.475
30,43.7782
30,117.405
30,104.47
30,56.7125
30,104.47
30,74.6217
30,50.7428
30,81.5863
30,80.5914
30,107.455
30,66.6621
49,62.6823
49,87.556
49,62.6823
49,74.6216
49,97.5057
49,73.6267
49,82.5814
49,106.46
49,63.6772
49,85.5662
49,41.7882
49,123.374
49,46.763
49,64.6722
49,90.541
49,98.5007
49,107.455
49,70.6419
49,73.6268
49,39.7983
#Ring
16,111.626
16,152.289
16,109.71
16,125.425
16,115.827
16,125.156
16,99.5615
16,141.076
16,149.115
16,109.257
16,201.506
16,100.401
16,123.431
16,154.256
16,117.606
16,189.003
16,157.283
16,110.486
16,103.29
16,144.498
30,152.247
30,137.267
30,112.486
30,126.993
30,169.836
30,114.237
30,89.368
30,109.81
30,122.213
30,123.777
30,154.228
30,97.1247
30,189.045
30,166.792
30,102.924
30,79.3166
30,114.478
30,158.254
30,130.229
30,72.2515
49,101.636
49,100.595
49,75.8202
49,120.728
49,112.113
49,105.701
49,97.3937
49,83.2656
49,102.474
49,107.325
49,127.111
49,92.7921
49,97.7463
49,72.0677
49,61.7713
49,131.337
49,110.609
49,112.707
49,106.04
49,108.23
#VonNeumann
16,109.446
16,116.41
16,96.512
16,77.6066
16,73.6385
16,117.414
16,94.5401
16,88.624
16,85.5662
16,113.425
16,135.314
16,129.344
16,88.5518
16,71.6374
16,102.481
16,61.6876
16,118.406
16,88.706
16,112.456
16,138.49
30,98.5315
30,72.6322
30,92.5314
30,69.1858
30,87.5563
30,71.638
30,88.5622
30,69.6486
30,92.6504
30,50.7491
30,62.6826
30,91.5359
30,72.633
30,124.674
30,88.5852
30,86.5615
30,69.6642
30,86.5613
30,81.592
30,91.5961
49,36.8137
49,70.9078
49,57.4868
49,67.8646
49,70.7162
49,48.9994
49,58.7059
49,56.0039
49,78.6414
49,93.5447
49,47.8223
49,47.7582
49,75.5909
49,78.6037
49,64.6943
49,62.6849
49,46.7634
49,60.7085
49,63.8942
49,62.3258
#Random
16,83.7395
16,58.3574
16,49.5428
16,84.5734
16,93.0932
16,103.476
16,69.2002
16,63.9101
16,69.4067
16,56.8061
16,61.2025
16,77.7457
16,94.9208
16,82.1758
16,101.645
16,62.612
16,64.8049
16,154.935
16,202.145
16,141.421
30,76.4882
30,128.666
30,172.367
30,64.3024
30,92.3943
30,46.9868
30,66.9893
30,66.1068
30,165.716
30,180.26
30,143.365
30,125.615
30,122.643
30,72.6413
30,90.823
30,108.498
30,67.6348
30,59.7998
30,144.331
30,86.3136
49,134.567
49,158.709
49,132.243
49,141.104
49,45.2394
49,146.825
49,136.107
49,67.6079
49,188.115
49,170.677
49,120.011
49,92.8089
49,28.337
49,83.4137
49,173.651
49,142.526
49,105.285
49,111.217
49,81.7528
49,69.706
