Number Of Particles,Best Value
16,133.999
16,140.077
16,220.271
16,139.63
16,119.177
16,143.714
16,158.329
16,114.033
16,148.556
16,93.0751
16,124.224
16,204.223
16,83.1189
16,99.6412
16,157.342
16,125.241
16,128.508
16,138.885
16,74.3904
16,72.5351
#16
30,131.453
30,101.135
30,157.497
30,140.1
30,103.679
30,126.607
30,139.428
30,118.296
30,85.933
30,97.5539
30,120.074
30,127.92
30,113.875
30,105.393
30,121.815
30,138.822
30,144.184
30,103.79
30,130.489
30,100.197
#30
49,126.863
49,56.4328
49,99.8815
49,64.1256
49,97.1502
49,129.853
49,73.2518
49,171.075
49,94.8705
49,132.179
49,97.2331
49,83.2514
49,77.5266
49,86.0416
49,119.015
49,127.073
49,101.097
49,103.428
49,110.494
49,118.334
#49
