Number Of Particles,Best Value
16,56.2254
16,49.3045
16,86.6203
16,134.23
16,99.6745
16,229.654
16,274.062
16,3626.57
16,222.538
16,179.556
16,286.749
16,251.313
16,144.702
16,123.212
16,814.79
16,204.882
16,24.5588
16,895.252
16,121.693
16,192.912
#16
30,264.627
30,108.258
30,149.248
30,286.54
30,130.751
30,41.2974
30,185.005
30,162.461
30,68.725
30,118.866
30,65.4785
30,163.085
30,74.2202
30,134.282
30,79.6052
30,166.876
30,74.7553
30,20.0949
30,81.5865
30,411.13
#30
49,82.5315
49,134.871
49,36.6466
49,76.3145
49,85.5617
49,217.477
49,201.972
49,242.589
49,242.883
49,35.7889
49,218.02
49,165.084
49,187.174
49,136.388
49,154.68
49,80.0292
49,158.364
49,98.6729
49,81.0735
49,105.816
#49
