Number Of Particles,Best Value
16,202.601
16,160.964
16,104.267
16,70.2166
16,137.984
16,30.7092
16,70.4453
16,124.002
16,411.256
16,407.885
16,82.4852
16,646.787
16,2466.11
16,258.625
16,98.004
16,169.286
16,74.4722
16,559.286
16,103.902
16,100.017
30,77.4815
30,246.742
30,250.359
30,82.0209
30,78.9621
30,4.58844
30,122.998
30,85.7415
30,74.6514
30,94.0829
30,73.7369
30,128.421
30,518.488
30,236.072
30,478.291
30,216.532
30,75.659
30,92.7924
30,247.804
30,256.063
49,81.9701
49,7.92011
49,1511.52
49,98.6732
49,317.968
49,25.9149
49,31.076
49,81.5851
49,133.673
49,29.4008
49,168.3
49,127.647
49,203.093
49,75.6834
49,1019.4
49,1001.12
49,46.7523
49,99.4365
49,241.064
49,80.7611
#Global
16,56.2254
16,49.3045
16,86.6203
16,134.23
16,99.6745
16,229.654
16,274.062
16,3626.57
16,222.538
16,179.556
16,286.749
16,251.313
16,144.702
16,123.212
16,814.79
16,204.882
16,24.5588
16,895.252
16,121.693
16,192.912
30,264.627
30,108.258
30,149.248
30,286.54
30,130.751
30,41.2974
30,185.005
30,162.461
30,68.725
30,118.866
30,65.4785
30,163.085
30,74.2202
30,134.282
30,79.6052
30,166.876
30,74.7553
30,20.0949
30,81.5865
30,411.13
49,82.5315
49,134.871
49,36.6466
49,76.3145
49,85.5617
49,217.477
49,201.972
49,242.589
49,242.883
49,35.7889
49,218.02
49,165.084
49,187.174
49,136.388
49,154.68
49,80.0292
49,158.364
49,98.6729
49,81.0735
49,105.816
#Ring
16,576.496
16,102.467
16,124.586
16,94.1833
16,69.0676
16,540.381
16,36078.7
16,187.713
16,102.359
16,138.785
16,71.3106
16,17.8452
16,75.1265
16,499.378
16,9.38554
16,79.9789
16,181.342
16,845.921
16,695.197
16,294.076
30,99.0823
30,150.918
30,28.5042
30,70.1503
30,28.2094
30,122.033
30,24.6028
30,97.0299
30,75.679
30,819.33
30,358.261
30,846.323
30,200.113
30,85.0716
30,99.2104
30,148.862
30,75.5059
30,86.7036
30,1044.88
30,68.8391
49,371.288
49,110.374
49,78.9955
49,162.006
49,321.503
49,79.4182
49,118.325
49,283.291
49,86.2231
49,77.6099
49,105.295
49,79.1721
49,104.567
49,165.587
49,33.3513
49,88.961
49,91.7493
49,259.238
49,46.9959
49,60.2505
#VonNeumann
16,213.53
16,455.293
16,77.0061
16,1172.01
16,41.3517
16,63.7852
16,192.554
16,289.043
16,2083.53
16,118.702
16,218.804
16,180.651
16,477.042
16,75.6201
16,425.469
16,21689.8
16,291.996
16,1108.87
16,447.153
16,157.277
30,92.172
30,82.9626
30,318.812
30,206.494
30,28.1225
30,478.67
30,4305.03
30,51.6454
30,307.183
30,203.853
30,345.781
30,1152.54
30,1241.18
30,27.2407
30,1295.57
30,159.406
30,246.216
30,80.6496
30,127.979
30,113.293
49,72.966
49,80.6856
49,194.349
49,335.585
49,214.185
49,899.558
49,53.1416
49,86.241
49,158.347
49,101.953
49,702.467
49,75.0244
49,106.01
49,107.711
49,83.2869
49,194.914
49,27.9177
49,34.2664
49,89.0777
49,112.475
#Random
