Number Of Particles,Best Value
16,19.8049
16,19.9366
16,19.8601
16,19.9818
16,20.1679
16,20.1517
16,20.18
16,19.5218
16,19.9492
16,20.047
16,19.9431
16,20.0259
16,19.8097
16,19.9309
16,19.8768
16,20.0298
16,19.8756
16,19.8967
16,19.9904
16,19.9645
#16
30,19.9534
30,19.8922
30,20.0452
30,19.7855
30,19.7679
30,19.8902
30,19.9771
30,19.8286
30,20.0002
30,19.8911
30,19.94
30,19.9027
30,19.8414
30,19.8271
30,19.7757
30,20.0552
30,19.9414
30,0.00675944
30,20.0833
30,19.8251
#30
49,19.8835
49,19.9927
49,19.8551
49,19.6983
49,19.8158
49,19.9828
49,19.8307
49,19.9771
49,19.8747
49,19.7504
49,13.6006
49,19.8077
49,19.937
49,19.7776
49,19.8799
49,19.8948
49,19.75
49,19.86
49,19.8579
49,19.6456
#49
