Number Of Particles,Best Value
16,75.6167
16,140.293
16,115.415
16,70.642
16,170.137
16,56.7125
16,90.5831
16,83.6504
16,111.437
16,136.944
16,85.7519
16,73.672
16,118.493
16,71.6375
16,74.6376
16,87.5563
16,184.066
16,86.8076
16,88.581
16,62.6825
#16
30,110.44
30,65.2184
30,74.9553
30,129.344
30,50.9009
30,73.6441
30,108.548
30,96.5116
30,83.5774
30,114.421
30,70.6903
30,93.8276
30,90.5411
30,112.434
30,52.8869
30,91.3156
30,52.7423
30,82.1171
30,80.7623
30,74.8138
#30
49,78.6543
49,83.1029
49,64.721
49,66.6958
49,55.7301
49,68.6843
49,42.8161
49,59.7343
49,60.6935
49,37.8883
49,69.6473
49,74.6237
49,66.8695
49,53.7307
49,79.6036
49,61.7942
49,55.7205
49,56.7152
49,47.7582
49,74.6218
#49
