Number Of Particles,Best Value
16,576.496
16,102.467
16,124.586
16,94.1833
16,69.0676
16,540.381
16,36078.7
16,187.713
16,102.359
16,138.785
16,71.3106
16,17.8452
16,75.1265
16,499.378
16,9.38554
16,79.9789
16,181.342
16,845.921
16,695.197
16,294.076
#16
30,99.0823
30,150.918
30,28.5042
30,70.1503
30,28.2094
30,122.033
30,24.6028
30,97.0299
30,75.679
30,819.33
30,358.261
30,846.323
30,200.113
30,85.0716
30,99.2104
30,148.862
30,75.5059
30,86.7036
30,1044.88
30,68.8391
#30
49,371.288
49,110.374
49,78.9955
49,162.006
49,321.503
49,79.4182
49,118.325
49,283.291
49,86.2231
49,77.6099
49,105.295
49,79.1721
49,104.567
49,165.587
49,33.3513
49,88.961
49,91.7493
49,259.238
49,46.9959
49,60.2505
#49
